,id,activity_count_paste,action_time_sum,action_time_mean,word_count_max,text_change_count_tiny_text_changes,cursor_position_mean,distance_of_moved_selection_mean,distance_of_moved_selection_max,size_of_moved_selection_mean,size_of_moved_selection_max,up_time_fraction_of_time_spent_writing,action_time_mean_Input,action_time_mean_Move From,action_time_mean_Nonproduction,action_time_mean_Paste,action_time_mean_Remove/Cut,action_time_mean_Replace,action_time_max_Input,action_time_max_Move From,action_time_max_Nonproduction,action_time_max_Paste,action_time_max_Remove/Cut,action_time_max_Replace,action_time_sum_Input,action_time_sum_Move From,action_time_sum_Nonproduction,action_time_sum_Paste,action_time_sum_Remove/Cut,action_time_sum_Replace,action_time_count_Input,action_time_count_Move From,action_time_count_Nonproduction,action_time_count_Paste,action_time_count_Remove/Cut,action_time_count_Replace,Peak Frequency,Mean Frequency,Median Frequency,Bandwidth,Frequency Skewness,Frequency Kurtosis,Total Energy,Spectral Entropy,Spectral Flatness,Spectral Roll-off,Mean Amplitude,Std Amplitude,Skew Amplitude,Kurtosis Amplitude,score
0,001519c8,0,297243,116.24677356276887,256,2429,711.1634728197106,0.0,0,0.0,0,1.001093888888889,121.2592039800995,0.0,154.21666666666667,0.0,81.84652278177458,125.14285714285714,248.0,0.0,2259.0,0.0,529.0,196.0,243731.0,0.0,18506.0,0.0,34130.0,876.0,2010.0,3.0,120.0,0.0,417.0,7.0,0.030125195618153366,0.15676550653870544,0.25,0.49921752738654146,3.9075243396345605,25.219347126389106,250694861.97491533,9.717442453075716,0.6660717665670243,0.34311424100156496,292.5810629064662,332.73382296017087,3.9075243396345605,25.219347126389106,3.5
1,0022f953,1,275391,112.22127139364304,323,2199,776.2057864710677,0.0,0,0.0,0,0.9938716666666667,122.75077399380805,0.0,54.25590551181102,71.0,90.57692307692308,98.0,250.0,0.0,1758.0,71.0,502.0,98.0,237891.0,0.0,13781.0,71.0,23550.0,98.0,1938.0,0.0,254.0,1.0,260.0,1.0,0.030982470444353854,0.15427547295551097,0.2503057480635956,0.4993885038728088,3.889147015994832,22.492357466967853,219469100.00000006,9.638065322890286,0.6646525898487347,0.33958418263351,274.32564474989584,322.1145093113625,3.889147015994832,22.492357466967853,3.5
2,0042269b,0,421201,101.8377659574468,404,3951,731.6117021276596,0.0,0,0.0,0,0.9842605555555556,100.63100995732574,0.0,194.00571428571428,0.0,74.95444191343964,89.57142857142857,254.0,0.0,3005.0,0.0,507.0,110.0,353718.0,0.0,33951.0,0.0,32905.0,627.0,3515.0,0.0,175.0,0.0,439.0,7.0,0.030955259975816204,0.15870553430619724,0.2500604594921403,0.4996372430471584,4.447608680298747,31.532022264383222,623306672.0,10.388989753736528,0.6648616499747765,0.34123337363966144,352.151734288034,421.3555758520315,4.447608680298747,31.532022264383222,6.0
3,0059420b,1,189596,121.84832904884318,206,1455,542.5372750642673,0.0,0,0.0,0,0.7802605555555555,128.67331288343559,0.0,30.92929292929293,160.0,121.9205298013245,174.0,806.0,0.0,525.0,160.0,697.0,174.0,167790.0,0.0,3062.0,160.0,18410.0,174.0,1304.0,0.0,99.0,1.0,151.0,1.0,0.029581993569131833,0.15288981344276842,0.25016077170418005,0.49903536977491963,4.043333960433677,22.926430198335087,94351774.00000001,8.950704913091462,0.6567824358291473,0.33633440514469454,220.6293448010032,269.728653986807,4.043333960433677,22.926430198335087,2.0
4,0075873a,0,313702,123.94389569340181,252,2459,600.0509679968392,0.0,0,0.0,0,0.9235955555555555,137.23738414006178,0.0,97.05555555555556,0.0,77.75435203094777,0.0,701.0,0.0,229.0,0.0,505.0,0.0,266515.0,0.0,6988.0,0.0,40199.0,0.0,1942.0,0.0,72.0,0.0,517.0,0.0,0.031225296442687747,0.15568384743568348,0.250197628458498,0.4992094861660079,3.8083252528425335,22.2210184014985,236458589.0550129,9.673698509436152,0.6497920269486959,0.3339920948616601,281.6957330283937,328.20600626706556,3.8083252528425335,22.2210184014985,4.0
5,0081af50,0,179985,81.40434192672998,275,2132,662.5323383084577,0.0,0,0.0,0,0.9882866666666666,82.99832775919732,0.0,91.26315789473684,0.0,70.83431952662721,69.33333333333333,208.0,0.0,1102.0,0.0,507.0,85.0,148899.0,0.0,6936.0,0.0,23942.0,208.0,1794.0,0.0,76.0,0.0,338.0,3.0,0.025339366515837104,0.15642648514689309,0.2502262443438914,0.4990950226244344,3.880630533582398,20.277642448882258,178862535.52524987,9.481347591739361,0.6659319818509941,0.3434389140271493,258.984929405857,308.1233074229904,3.880630533582398,20.277642448882258,2.0
6,0093f095,0,193652,109.71784702549576,242,1731,685.2283286118981,0.0,0,0.0,0,0.9823316666666667,111.77132027795325,0.0,50.14705882352941,0.0,101.4391891891892,0.0,376.0,0.0,238.0,0.0,501.0,0.0,176934.0,0.0,1705.0,0.0,15013.0,0.0,1583.0,0.0,34.0,0.0,148.0,0.0,0.030045351473922902,0.15257298962007954,0.25,0.4988662131519275,5.023322257091089,36.48298628986296,120221332.29871915,9.090834842723288,0.6408488733849275,0.33390022675736963,224.2077874687696,293.58295267733007,5.023322257091089,36.48298628986296,4.5
7,009e23ab,0,213548,90.75563110922226,308,2197,790.4453888652783,0.0,0,0.0,0,0.9996127777777778,96.34430379746836,0.0,50.16129032258065,0.0,68.73423423423424,234.0,221.0,0.0,803.0,0.0,511.0,234.0,190280.0,0.0,7775.0,0.0,15259.0,234.0,1975.0,0.0,155.0,0.0,222.0,1.0,0.033588435374149656,0.15605000573848873,0.25,0.49914965986394555,4.225208433111164,25.016946445341105,207267719.48224983,9.542217995842282,0.6463853250372754,0.3388605442176871,264.34804788035257,326.3712130621762,4.225208433111164,25.016946445341105,4.0
8,00e048f1,0,118893,75.01135646687698,223,1544,664.4763406940064,0.0,0,0.0,0,0.99861,75.63113604488079,0.0,49.58536585365854,0.0,76.35593220338983,0.0,266.0,0.0,211.0,0.0,613.0,0.0,107850.0,0.0,2033.0,0.0,9010.0,0.0,1426.0,0.0,41.0,0.0,118.0,0.0,0.030303030303030304,0.15856896337819013,0.25,0.49873737373737376,4.888715117136496,32.4339504590398,93232449.83053392,8.96988761491688,0.6589035430138847,0.33712121212121215,211.17770763613066,270.6853097197879,4.888715117136496,32.4339504590398,3.5
9,00e1f05a,0,730504,93.34321492461028,739,7585,1789.3512650140558,0.0,0,0.0,0,1.0298316666666667,93.32807160292921,0.0,291.4605263157895,0.0,62.11687413554633,104.14285714285714,313.0,0.0,11017.0,0.0,508.0,216.0,573501.0,0.0,66453.0,0.0,89821.0,729.0,6145.0,0.0,228.0,0.0,1446.0,7.0,0.026325878594249202,0.15525242914064905,0.25009584664536744,0.49980830670926524,3.7813255196080418,21.027991348813615,2311592901.9999995,11.3020051568625,0.6558797291933863,0.3359744408945687,497.73740624086736,585.7947213081204,3.7813255196080418,21.027991348813615,4.5
