id,activity_0_cnt,activity_1_cnt,activity_2_cnt,activity_3_cnt,activity_4_cnt,text_change_0_cnt,text_change_1_cnt,text_change_2_cnt,text_change_3_cnt,text_change_4_cnt,text_change_5_cnt,text_change_6_cnt,text_change_7_cnt,text_change_8_cnt,text_change_9_cnt,text_change_10_cnt,text_change_11_cnt,text_change_12_cnt,text_change_13_cnt,down_event_0_cnt,down_event_1_cnt,down_event_2_cnt,down_event_3_cnt,down_event_4_cnt,down_event_5_cnt,down_event_6_cnt,down_event_7_cnt,down_event_8_cnt,down_event_9_cnt,down_event_10_cnt,down_event_11_cnt,down_event_12_cnt,down_event_13_cnt,down_event_14_cnt,down_event_15_cnt,up_event_0_cnt,up_event_1_cnt,up_event_2_cnt,up_event_3_cnt,up_event_4_cnt,up_event_5_cnt,up_event_6_cnt,up_event_7_cnt,up_event_8_cnt,up_event_9_cnt,up_event_10_cnt,up_event_11_cnt,up_event_12_cnt,up_event_13_cnt,up_event_14_cnt,up_event_15_cnt,input_word_count,input_word_length_mean,input_word_length_max,input_word_length_std,input_word_length_median,input_word_length_skew,action_time_sum,down_time_mean,up_time_mean,action_time_mean,cursor_position_mean,word_count_mean,down_time_std,up_time_std,action_time_std,cursor_position_std,word_count_std,down_time_median,up_time_median,action_time_median,cursor_position_median,word_count_median,down_time_min,up_time_min,action_time_min,cursor_position_min,word_count_min,down_time_max,up_time_max,action_time_max,cursor_position_max,word_count_max,down_time_quantile,up_time_quantile,action_time_quantile,cursor_position_quantile,word_count_quantile,activity,down_event,up_event,text_change,inter_key_largest_lantency,inter_key_median_lantency,mean_pause_time,std_pause_time,total_pause_time,pauses_half_sec,pauses_1_sec,pauses_1_half_sec,pauses_2_sec,pauses_3_sec,P-bursts_mean,P-bursts_std,P-bursts_count,P-bursts_median,P-bursts_max,P-bursts_first,P-bursts_last,R-bursts_mean,R-bursts_std,R-bursts_median,R-bursts_max,R-bursts_first,R-bursts_last,word_len_count,word_len_mean,word_len_min,word_len_max,word_len_first,word_len_last,word_len_q1,word_len_median,word_len_q3,word_len_sum,sent_count,sent_len_mean,sent_len_min,sent_len_max,sent_len_first,sent_len_last,sent_len_q1,sent_len_median,sent_len_q3,sent_len_sum,sent_word_count_mean,sent_word_count_min,sent_word_count_max,sent_word_count_first,sent_word_count_last,sent_word_count_q1,sent_word_count_median,sent_word_count_q3,sent_word_count_sum,paragraph_count,paragraph_len_mean,paragraph_len_min,paragraph_len_max,paragraph_len_first,paragraph_len_last,paragraph_len_q1,paragraph_len_median,paragraph_len_q3,paragraph_len_sum,paragraph_word_count_mean,paragraph_word_count_min,paragraph_word_count_max,paragraph_word_count_first,paragraph_word_count_last,paragraph_word_count_q1,paragraph_word_count_median,paragraph_word_count_q3,paragraph_word_count_sum,keys_per_second,product_to_keys,score
001519c8,2010,417,120,7,0,1940,436,28,14,4,5,0,0,0,1,0,0,0,0,1619,357,417,27,2,92,2,21,12,0,0,4,0,3,0,0,1619,357,417,27,2,92,2,21,12,0,0,4,0,3,0,0,366,5.325136612021858,20,3.4878041783909883,4.0,1.4342139450724272,297243,848180.7719984357,848297.0187719985,116.24677356276887,711.1634728197106,128.11615174032067,395112.66596083215,395105.68565532897,91.7973743446592,439.3596188484249,76.49837239600791,891716.0,891802.0,112.0,727.0,132.0,4526,4557,0,0,0,1801877,1801969,2259,1539,256,891716.0,891802.0,112.0,727.0,132.0,7,12,12,17,28.545,0.06,0.3162950144210963,1.2986781793453295,767.6480000000007,94,36,21,15,59,31.0,29.817034653961745,73,25.0,185,63,61,4.389473684210526,4.503650379561161,2.0,19.0,1.0,12.0,256,4.859375,1,11,9,9,3.0,4.0,7.0,1244,14,106.14285714285714,31,196,31,89,75.5,119.5,126.0,1486,18.285714285714285,6,29,6,16,12.25,21.0,22.0,256,3,508.0,390,654,390,480,435.0,480.0,567.0,1524,89.66666666666667,71,112,71,86,78.5,86.0,99.0,269,1.3502514405185588,0.6295838483724763,3.5
0022f953,1938,260,254,1,1,1698,432,18,24,7,4,6,6,3,0,0,0,0,0,1490,391,260,97,46,56,49,15,21,3,2,6,0,3,0,0,1490,391,260,97,46,56,49,15,21,3,2,6,0,3,0,0,385,4.41038961038961,33,3.1994960810851243,4.0,3.7952590948704636,275391,518855.347595762,518967.56886715564,112.22127139364304,776.2057864710677,182.71475142624286,384959.4041770636,384952.7287962653,55.43118918498115,449.1331738570197,97.76309027760496,407673.0,407789.0,115.0,743.0,186.0,30623,30853,0,0,0,1788842,1788969,1758,1676,323,407725.0,407841.0,115.0,743.0,186.0,5,17,17,12,20.186,0.062,0.201374431301183,0.6928624479644487,442.6210000000002,119,28,9,14,18,72.73333333333333,64.21780467114715,30,58.5,249,108,9,3.25,3.414414715306456,2.0,15.0,11.0,9.0,323,4.040247678018575,1,15,4,3,3.0,4.0,5.0,1305,15,107.66666666666667,19,226,19,143,56.5,92.0,149.5,1615,21.666666666666668,3,45,3,30,12.0,20.0,31.0,325,6,278.1666666666667,176,462,240,284,228.75,261.0,283.5,1669,59.166666666666664,37,96,53,60,47.75,56.5,62.25,355,1.2500383883490507,0.762056414922657,3.5
0042269b,3515,439,175,7,0,3257,615,23,26,23,0,2,1,0,0,4,0,0,0,2904,552,439,39,6,129,0,21,23,0,0,17,0,0,0,0,2899,552,439,39,6,129,0,21,23,0,0,17,0,0,0,0,627,5.446570972886763,25,3.4748951833449566,4.0,1.695634450143943,421201,828491.7751450677,828593.6129110252,101.8377659574468,731.6117021276596,194.77272727272728,489500.7965653484,489500.4387835343,82.38376611454355,592.7697629541335,108.93506753663294,759582.0,759674.5,94.0,530.5,193.0,4441,4540,0,0,0,1771219,1771669,3005,2291,404,759620.0,759720.0,94.0,531.0,193.0,4,13,18,19,52.582,0.037,0.14028022255943276,1.4928148718841676,554.6679999999972,47,15,10,7,20,145.14814814814815,134.51814395883946,27,93.0,513,121,13,4.771739130434782,6.399009643274161,2.0,37.0,1.0,1.0,408,5.279411764705882,1,13,11,3,3.0,5.0,8.0,2154,19,133.8421052631579,73,189,139,161,108.0,139.0,161.0,2543,21.473684210526315,12,29,21,26,17.5,21.0,26.5,408,6,429.5,296,568,491,296,356.75,444.5,483.5,2577,68.33333333333333,45,88,79,45,55.5,73.5,78.75,410,2.237402304626228,0.6542741527567021,6.0
0059420b,1304,151,99,1,1,1146,281,13,3,4,3,0,0,0,0,5,0,0,0,1038,243,152,68,0,18,0,13,3,0,0,3,2,2,0,0,1038,243,152,68,0,18,0,13,3,0,0,3,2,2,0,0,251,4.609561752988048,19,2.949601264019341,4.0,1.7665752876652938,189596,785483.0263496144,785604.8746786632,121.84832904884318,542.5372750642673,103.61889460154242,385205.01439878665,385206.08125025616,113.76822550901367,307.62720040596514,61.882249996500704,848240.5,848405.5,110.0,593.5,108.5,41395,41513,0,0,0,1404394,1404469,806,1047,206,848833.0,849022.0,110.0,594.0,109.0,5,15,15,10,45.225,0.131,0.6089766323024056,2.2132243368139783,886.0610000000001,165,77,27,27,48,19.90277777777778,18.764785511000795,72,17.5,97,97,4,2.3230769230769233,3.8287877173611213,1.0,30.0,2.0,1.0,208,4.490384615384615,1,13,2,8,2.0,4.0,6.0,934,13,86.84615384615384,39,144,99,80,62.0,80.0,99.0,1129,16.0,7,27,17,14,11.0,15.0,18.0,208,3,384.0,347,449,347,356,351.5,356.0,402.5,1152,69.33333333333333,62,81,62,65,63.5,65.0,73.0,208,1.0674402123435704,0.793127147766323,2.0
0075873a,1942,517,72,0,0,1964,397,32,25,12,25,0,0,2,0,2,0,0,0,1541,324,517,39,0,33,0,23,24,0,0,10,0,17,0,0,1541,324,517,39,0,33,0,23,24,0,0,10,0,17,0,0,412,4.766990291262136,18,2.9860643432521115,4.0,1.255201953788355,313702,713354.1975503754,713478.1414460688,123.94389569340181,600.0509679968392,125.0829711576452,405576.4090338523,405575.6317459898,62.082012674388594,341.7294091834081,77.2550536256005,686588.0,686728.0,129.0,630.0,113.0,78470,78693,0,0,0,1662390,1662472,701,1402,252,686588.0,686728.0,129.0,630.0,113.0,3,11,11,9,59.939,0.057,0.258844652297681,1.6342815461087667,636.4989999999976,59,22,11,13,38,50.75,56.67544779689634,48,35.0,257,45,182,9.070175438596491,17.040770070965948,3.0,119.0,2.0,2.0,255,4.509803921568627,1,12,11,11,3.0,4.0,5.0,1150,16,86.8125,22,182,75,22,60.0,74.0,106.25,1389,15.9375,3,35,11,3,11.0,12.5,18.25,255,5,283.4,23,627,351,23,124.0,292.0,351.0,1417,51.2,3,114,61,3,26.0,52.0,61.0,256,1.55239702980173,0.5795038633590891,4.0
0081af50,1794,338,76,3,0,1732,378,12,5,3,0,0,0,0,0,0,1,0,0,1451,327,340,12,24,37,0,11,4,0,0,3,1,0,0,0,1451,327,340,12,24,37,0,11,4,0,0,3,1,0,0,0,348,4.988505747126437,22,3.4946404050076167,4.0,1.9079204276974826,179985,544339.1913161465,544420.5956580733,81.40434192672998,662.5323383084577,132.94255992763456,484650.5779748612,484649.6723054766,40.65305428584797,409.6093704948651,81.20882445728046,378996.0,379095.0,77.0,667.0,134.0,42636,42744,0,0,0,1778845,1778916,1102,1445,275,378996.0,379095.0,77.0,667.0,134.0,4,11,11,11,127.269,0.108,0.41150093808630367,4.053250659180414,877.3199999999995,129,28,11,9,17,80.64,61.15613896685544,25,73.0,233,17,16,2.725806451612903,3.492939940172047,2.0,28.0,8.0,1.0,275,4.203636363636364,1,12,2,4,3.0,4.0,5.0,1156,10,142.3,68,219,107,196,108.25,144.5,186.25,1423,27.7,10,44,22,41,20.5,27.0,38.25,277,4,360.75,181,609,181,609,211.0,326.5,476.25,1443,70.25,35,116,35,116,42.5,65.0,92.75,281,1.2279125486672657,0.6782363977485929,2.0
0093f095,1583,148,34,0,0,1424,274,16,8,4,2,0,1,0,0,2,0,0,0,1296,257,148,19,0,13,0,15,7,0,0,4,1,2,0,0,1296,257,148,19,0,13,0,15,7,0,0,4,1,2,0,0,270,5.274074074074074,19,3.2996736755145046,4.0,1.3920808073820166,193652,354314.4577903683,354424.1756373938,109.71784702549576,685.2283286118981,119.671388101983,242048.21674987816,242044.56086982507,37.01833130362483,455.3639115485538,72.38823351966136,331472.0,331553.0,110.0,711.0,116.0,6572,6810,0,0,0,1768065,1768197,501,1438,242,331472.0,331553.0,110.0,711.0,116.0,3,13,13,9,122.688,0.077,0.8710612362796065,7.889733217886848,1507.8069999999989,44,12,9,6,26,59.63333333333333,99.46112854755883,30,17.0,460,129,1,2.4262295081967213,3.5235352341715114,1.0,24.0,1.0,1.0,243,4.843621399176954,1,18,1,9,3.0,4.0,6.0,1177,14,100.42857142857143,27,181,81,181,82.25,94.0,118.5,1406,17.357142857142858,5,31,15,31,15.0,17.0,20.75,243,3,477.0,360,561,561,360,435.0,510.0,535.5,1431,81.0,61,95,95,61,74.0,87.0,91.0,243,0.9826154828638332,0.829000577700751,4.5
009e23ab,1975,222,155,1,0,1714,425,18,17,11,2,2,0,2,0,2,4,0,0,1560,366,219,71,1,78,0,18,15,0,1,9,0,1,3,0,1560,366,219,71,1,78,0,18,15,0,1,9,0,1,3,0,355,4.828169014084507,44,3.7380865444352356,4.0,4.635960945220205,213548,487666.2923926902,487757.0480237994,90.75563110922226,790.4453888652783,154.29706757331067,279593.81068045687,279591.2745827165,41.934951692134895,501.122290308201,93.48678321080847,452862.0,452938.0,91.0,666.0,144.0,106549,106650,0,0,0,1799221,1799303,803,1768,308,452862.0,452938.0,91.0,666.0,144.0,4,17,17,12,6.061,0.075,0.16121438324988602,0.3313014094041458,354.1879999999996,101,25,14,7,4,190.8181818181818,295.83029533224556,11,54.0,958,44,78,3.8275862068965516,5.085714188609843,2.0,28.0,1.0,16.0,309,4.5954692556634305,1,13,8,2,3.0,4.0,6.0,1420,20,85.45,32,169,32,43,51.5,79.5,120.25,1709,15.45,5,27,5,10,10.0,15.0,20.5,309,4,436.75,364,508,455,364,406.0,437.5,468.25,1747,77.75,68,93,81,68,68.75,75.0,84.0,311,1.2978849850598493,0.7979062357760582,4.0
00e048f1,1426,118,41,0,0,1240,268,25,6,5,0,0,0,0,0,0,0,0,0,1148,245,120,29,0,10,0,23,5,0,0,5,0,0,0,0,1148,245,120,29,0,10,0,23,5,0,0,5,0,0,0,0,250,4.96,23,2.852086955196142,4.0,2.020351698925247,118893,837617.3495268138,837692.3608832808,75.01135646687698,664.4763406940064,114.76277602523659,345748.10795061797,345747.1395299131,33.244614848179324,396.027046191146,66.91791105953358,816998.0,817059.0,69.0,679.0,118.0,5273,5397,0,0,0,1797305,1797498,613,1308,223,816998.0,817059.0,69.0,679.0,118.0,3,8,8,6,214.541,0.187,0.8663879533678757,7.059517321354865,1337.703,118,52,19,21,53,21.929577464788732,20.70150025181886,71,18.0,112,112,48,3.1052631578947367,3.8117136224652364,1.0,20.0,3.0,1.0,223,4.753363228699552,2,13,2,10,3.0,4.0,6.0,1060,21,60.095238095238095,29,112,33,75,39.0,53.0,79.0,1262,10.619047619047619,5,19,7,15,7.0,10.0,14.0,223,3,434.3333333333333,303,568,303,432,367.5,432.0,500.0,1303,75.0,54,98,54,73,63.5,73.0,85.5,225,0.8614989747381049,0.8471502590673575,3.5
00e1f05a,6145,1446,228,7,0,6093,1334,32,73,10,20,0,6,0,4,4,0,0,4,4929,1087,1432,149,9,57,6,29,57,1,1,8,0,16,0,0,4929,1087,1432,149,9,57,6,29,57,1,1,8,0,16,0,0,1358,4.808541973490427,27,3.3241895723678883,4.0,1.9658337838857158,730504,884357.5039611551,884450.8471760798,93.34321492461028,1789.3512650140558,364.3521594684385,493354.2178517588,493357.5828820048,198.89668971322038,1004.7737299284402,207.108616978256,888236.0,888300.0,71.0,1844.0,416.0,10731,10801,0,0,0,1853533,1853697,11017,4110,739,888293.0,888356.0,71.0,1844.0,416.0,4,22,22,26,11.601,0.056,0.11306823870372813,0.33971753062354315,858.3010000000003,142,41,24,18,19,188.6,153.08479003864647,35,153.0,611,208,47,5.355555555555555,10.041154472841242,2.0,96.0,2.0,4.0,742,4.501347708894879,1,13,9,5,2.25,4.0,6.0,3340,24,169.08333333333334,68,317,68,163,120.0,155.0,206.0,4058,30.916666666666668,13,54,13,29,21.75,30.0,36.5,742,4,1026.0,716,1777,737,874,731.75,805.5,1099.75,4104,186.0,123,340,128,153,126.75,140.5,199.75,744,4.118903984121248,0.541430641549203,4.5
